,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
58,0.3124144872029622,0.023967485685029526,0.017789284388224285,0.0010027364359145973,0.9,0.01,6,0.8,"{'colsample_bytree': 0.9, 'learning_rate': 0.01, 'max_depth': 6, 'subsample': 0.8}",0.8167137976299144,0.8161210537366914,0.8132704775862137,0.8153684429842731,0.0015030924654035288,26
59,0.2627801100413005,0.034598229192889,0.01578974723815918,0.000360263069592372,0.9,0.01,6,0.9,"{'colsample_bytree': 0.9, 'learning_rate': 0.01, 'max_depth': 6, 'subsample': 0.9}",0.8164555508806488,0.8160166142769667,0.8131952246726493,0.815222463276755,0.0014446311187739688,38
60,0.46558332443237305,0.16645402116655475,0.026418288548787434,0.004542826865166259,0.9,0.01,8,0.7,"{'colsample_bytree': 0.9, 'learning_rate': 0.01, 'max_depth': 8, 'subsample': 0.7}",0.81598751706191,0.8155342089565062,0.8127436222170827,0.8147551160784996,0.0014343297448621728,44
61,0.4407173792521159,0.062421126639997576,0.02169044812520345,0.0028360470095553955,0.9,0.01,8,0.8,"{'colsample_bytree': 0.9, 'learning_rate': 0.01, 'max_depth': 8, 'subsample': 0.8}",0.8159776741722173,0.8155041451078876,0.8128317271995619,0.814771182159889,0.001384960071877933,43
62,0.4070635636647542,0.03686872873796429,0.019803603490193684,0.0013430095822664384,0.9,0.01,8,0.9,"{'colsample_bytree': 0.9, 'learning_rate': 0.01, 'max_depth': 8, 'subsample': 0.9}",0.8157256917822326,0.8153023460068541,0.812555393371603,0.8145278103868966,0.0014053770723065756,52
63,0.26744310061136883,0.08447805730196917,0.014832576115926107,0.0015305394079861223,0.9,0.05,4,0.7,"{'colsample_bytree': 0.9, 'learning_rate': 0.05, 'max_depth': 4, 'subsample': 0.7}",0.8172240973907943,0.8164526564972785,0.8140183772843594,0.8158983770574775,0.0013661575368504157,4
64,0.19406437873840332,0.019857298354087116,0.01938660939534505,0.005067349782710851,0.9,0.05,4,0.8,"{'colsample_bytree': 0.9, 'learning_rate': 0.05, 'max_depth': 4, 'subsample': 0.8}",0.8172258254138054,0.8165689405285234,0.813967326562395,0.8159206975015746,0.0014070342231449044,3
65,0.21711293856302896,0.015039182609508381,0.014597098032633463,0.002177581325791586,0.9,0.05,4,0.9,"{'colsample_bytree': 0.9, 'learning_rate': 0.05, 'max_depth': 4, 'subsample': 0.9}",0.8172198358168039,0.8165398201407442,0.8140475421888144,0.8159357327154542,0.0013637088957669668,2
66,0.2570029099782308,0.03000785515234075,0.015970230102539062,0.00045828545323834676,0.9,0.05,6,0.7,"{'colsample_bytree': 0.9, 'learning_rate': 0.05, 'max_depth': 6, 'subsample': 0.7}",0.8168014787975129,0.8158610933094335,0.8133698035747657,0.8153441252272374,0.0014478813733892401,29
67,0.262495756149292,0.03430911614256114,0.01636672019958496,0.0005227637118661844,0.9,0.05,6,0.8,"{'colsample_bytree': 0.9, 'learning_rate': 0.05, 'max_depth': 6, 'subsample': 0.8}",0.8167078819649319,0.8158816817215283,0.8133557872492216,0.8153151169785606,0.0014259222633682261,35
68,0.31276694933573407,0.04498899180231711,0.01589544614156087,8.612452941986126e-06,0.9,0.05,6,0.9,"{'colsample_bytree': 0.9, 'learning_rate': 0.05, 'max_depth': 6, 'subsample': 0.9}",0.8167932922057383,0.815839016325792,0.813585734003098,0.8154060141782095,0.0013447987583500168,21
69,0.3825717767079671,0.025594205732180894,0.021232048670450848,0.0024628763110323246,0.9,0.05,8,0.7,"{'colsample_bytree': 0.9, 'learning_rate': 0.05, 'max_depth': 8, 'subsample': 0.7}",0.815316231984869,0.8144390131310459,0.8119418886166697,0.8138990445775282,0.001429504068017686,69
70,0.368710199991862,0.029839401419503836,0.022339582443237305,0.0005518735574920597,0.9,0.05,8,0.8,"{'colsample_bytree': 0.9, 'learning_rate': 0.05, 'max_depth': 8, 'subsample': 0.8}",0.8156392751831977,0.8145838040246587,0.8121974247380537,0.8141401679819701,0.0014397206500947422,57
71,0.6127349535624186,0.43164658429506547,0.022263526916503906,0.0036754628001885565,0.9,0.05,8,0.9,"{'colsample_bytree': 0.9, 'learning_rate': 0.05, 'max_depth': 8, 'subsample': 0.9}",0.8153983483887098,0.814119559497759,0.8120119956262885,0.8138433011709192,0.001396205633195683,71
72,0.182723601659139,0.01991128430033252,0.013692855834960938,0.0020870091582442236,0.9,0.1,4,0.7,"{'colsample_bytree': 0.9, 'learning_rate': 0.1, 'max_depth': 4, 'subsample': 0.7}",0.8168594282588472,0.8162047878172461,0.8140584873046908,0.8157075677935947,0.0011963105424895877,14
73,0.22674846649169922,0.03636974562802349,0.01390695571899414,0.0007282464439260083,0.9,0.1,4,0.8,"{'colsample_bytree': 0.9, 'learning_rate': 0.1, 'max_depth': 4, 'subsample': 0.8}",0.8170604273492273,0.8161038507489886,0.8138296805291065,0.8156646528757742,0.0013550159489362117,16
74,0.1931610107421875,0.027590148471304064,0.016919294993082683,0.0034379020207947436,0.9,0.1,4,0.9,"{'colsample_bytree': 0.9, 'learning_rate': 0.1, 'max_depth': 4, 'subsample': 0.9}",0.8169836803961986,0.816255167522606,0.8139879708740204,0.8157422729309416,0.0012756343603442047,13
75,0.27588661511739093,0.00890437262342174,0.019322713216145832,0.00216038398807732,0.9,0.1,6,0.7,"{'colsample_bytree': 0.9, 'learning_rate': 0.1, 'max_depth': 6, 'subsample': 0.7}",0.8151692264410755,0.8142676927807079,0.8123083910857776,0.8139151034358537,0.001194245694182226,68
76,0.3042920430501302,0.022024221862814133,0.01961692174275716,0.002214232800651768,0.9,0.1,6,0.8,"{'colsample_bytree': 0.9, 'learning_rate': 0.1, 'max_depth': 6, 'subsample': 0.8}",0.8157285409236213,0.8144748911260536,0.8124501048441235,0.8142178456312662,0.0013507010702177868,56
77,0.301158348719279,0.03390050493469629,0.017205476760864258,0.0013193973588589247,0.9,0.1,6,0.9,"{'colsample_bytree': 0.9, 'learning_rate': 0.1, 'max_depth': 6, 'subsample': 0.9}",0.8159523110758511,0.8142911855073398,0.8126588808878794,0.8143007924903568,0.001344554404837729,54
78,0.5040547053019205,0.14830487675791348,0.02121710777282715,0.0015581654424354741,0.9,0.1,8,0.7,"{'colsample_bytree': 0.9, 'learning_rate': 0.1, 'max_depth': 8, 'subsample': 0.7}",0.812106749246069,0.8112778322768329,0.8085316783182197,0.8106387532803739,0.0015278742329512538,81
79,0.3274056911468506,0.022625240558320638,0.01904908816019694,0.000256520541104643,0.9,0.1,8,0.8,"{'colsample_bytree': 0.9, 'learning_rate': 0.1, 'max_depth': 8, 'subsample': 0.8}",0.8123848770876654,0.8111559978268488,0.809525630136354,0.8110221683502893,0.0011711122999789338,79
80,0.3246738115946452,0.015889853696285195,0.02001635233561198,0.0007628823381476498,0.9,0.1,8,0.9,"{'colsample_bytree': 0.9, 'learning_rate': 0.1, 'max_depth': 8, 'subsample': 0.9}",0.8129536537651791,0.8114095526515657,0.8096742610137072,0.8113458224768174,0.0013395646944640268,76
